ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
20,1005,26996,5,,,,,,,,
25,1134,25125,5,,,,,,,,
20,970,23750,5,,,,,,,,
20,971,23500,5,,,,,,,,
21,1018,25247,5,,,,,,,,
19,950,24250,5,,,,,,,,
20,958,22000,8,,,,,,,,
20,936,19197,8,,,,,,,,
23,1070,19000,8,,,,,,,,
20,996,19596,7,,,,,,,,
23,1042,23500,7,,,,,,,,
23,1057,24428,7,,,,,,,,
24,1076,27000,7,,,,,,,,
20,923,22250,7,,,,,,,,
22,1052,25500,7,,,,,,,,
22,1041,11000,7,,,,,,,,
21,1010,21677.5,3,,,,,,,,
20,989,26000,3,,,,,,,,
26,1162,27000,3,,,,,,,,
18,870,30269,3,,,,,,,,
33,1505,12500,3,,,,,,,,
22,1031,25000,3,,,,,,,,
21,1010,23250,3,,,,,,,,
23,1089,22000,3,,,,,,,,
22,1053,25375,3,,,,,,,,
19,909,16350,3,,,,,,,,
22,1056,21500,3,,,,,,,,
25,1125,18750,3,,,,,,,,
22,1030,23000,3,,,,,,,,
30,1326,20500,3,,,,,,,,
28,1249,27000,3,,,,,,,,
30,1266,27000,3,,,,,,,,
23,1110,22500,3,,,,,,,,
22,1080,23500,3,,,,,,,,
23,1070,25000,3,,,,,,,,
22,1006,22750,3,,,,,,,,
25,1125,12000,3,,,,,,,,
26,1212,25000,3,,,,,,,,
21,970,28155,3,,,,,,,,
23,1048,24447.5,3,,,,,,,,
19,930,30600.5,3,,,,,,,,
22,1046,27000,3,,,,,,,,
22,1033,27436,3,,,,,,,,
25,1125,25515,3,,,,,,,,
21,1025,26500,3,,,,,,,,
22,1030,23347,3,,,,,,,,
33,1461,18900,3,,,,,,,,
19,890,14293,3,,,,,,,,
24,1105,25000,3,,,,,,,,
21,1024,22727.5,3,,,,,,,,
21,1009,25700,3,,,,,,,,
22,1050,23562.5,3,,,,,,,,
23,1029,25000,3,,,,,,,,
23,1064,25000,3,,,,,,,,
21,1008,24250,3,,,,,,,,
22,1081,19500,3,,,,,,,,
22,1055,22250,3,,,,,,,,
23,1070,21875,3,,,,,,,,
23,1080,26196.5,3,,,,,,,,
22,1062,27000,3,,,,,,,,
20,970,24091,3,,,,,,,,
29,1311,22500,3,,,,,,,,
23,1048,27000,3,,,,,,,,
21,1066,25000,3,,,,,,,,
27,1205,27000,3,,,,,,,,
27,1213,25000,3,,,,,,,,
25,1144,26450,3,,,,,,,,
23,1031,27000,3,,,,,,,,
26,1109,20671,3,,,,,,,,
24,1110,22375,3,,,,,,,,
21,969,25000,3,,,,,,,,
22,1034,26745,3,,,,,,,,
22,1002,25500,3,,,,,,,,
22,1010,24147.5,3,,,,,,,,
22,1018,27000,3,,,,,,,,
21,965,27013.5,3,,,,,,,,
21,1001,22866,3,,,,,,,,
20,913,23713,3,,,,,,,,
20,934,19052,3,,,,,,,,
20,942,25537,3,,,,,,,,
27,1198,23000,3,,,,,,,,
20,916,27000,3,,,,,,,,
20,959,22500,3,,,,,,,,
20,943,21172,3,,,,,,,,
22,1000,27000,3,,,,,,,,
23,1036,27000,3,,,,,,,,
23,1081,24160,3,,,,,,,,
20,960,16973,3,,,,,,,,
22,965,22028,3,,,,,,,,
21,959,25000,3,,,,,,,,
31,1308,27000,3,,,,,,,,
22,981,25750,3,,,,,,,,
21,996,27000,3,,,,,,,,
20,943,28000,3,,,,,,,,
25,1144,27000,3,,,,,,,,
19,943,31250,3,,,,,,,,
26,1184,24500,3,,,,,,,,
23,1078,26000,3,,,,,,,,
27,1155,27000,3,,,,,,,,
26,1128,25000,3,,,,,,,,
22,1005,24000,4,,,,,,,,
22,1047,23877.5,4,,,,,,,,
24,1101,27000,4,,,,,,,,
22,1029,26000,4,,,,,,,,
25,1146,27000,4,,,,,,,,
26,1200,27000,4,,,,,,,,
24,1100,23250,4,,,,,,,,
27,1239,24500,4,,,,,,,,
20,941,26000,4,,,,,,,,
20,1018,17000,4,,,,,,,,
20,1004,17500,4,,,,,,,,
20,938,24900,4,,,,,,,,
21,967,23848.5,4,,,,,,,,
30,1398,10876.5,4,,,,,,,,
25,1145,24365,4,,,,,,,,
20,990,25538,4,,,,,,,,
25,1164,21612,4,,,,,,,,
23,1088,27000,4,,,,,,,,
26,1157,27000,4,,,,,,,,
23,1065,27000,4,,,,,,,,
21,1030,23489.5,4,,,,,,,,
22,1050,21039,4,,,,,,,,
23,1103,25962.5,4,,,,,,,,
22,1050,26000,4,,,,,,,,
23,1125,27000,4,,,,,,,,
21,950,21250,4,,,,,,,,
19,913,20760.5,4,,,,,,,,
24,1100,27000,4,,,,,,,,
23,1059,25250,4,,,,,,,,
23,1120,26000,4,,,,,,,,
21,969,27000,4,,,,,,,,
21,1000,26050,4,,,,,,,,
20,966,23375,4,,,,,,,,
