ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
20,947,27000,2,,,,,,,,
23,1008,16000,2,,,,,,,,
16,758,17500,2,,,,,,,,
20,950,27000,2,,,,,,,,
24,1125,25989.5,2,,,,,,,,
23,1074,27000,2,,,,,,,,
18,913,23508,2,,,,,,,,
23,1054,27000,2,,,,,,,,
18,974,27000,2,,,,,,,,
20,885,27000,2,,,,,,,,
21,964,27000,2,,,,,,,,
19,959,27000,2,,,,,,,,
22,1003,27000,2,,,,,,,,
22,1001,27000,2,,,,,,,,
21,954,27000,2,,,,,,,,
21,973,27000,2,,,,,,,,
25,1024,27000,2,,,,,,,,
22,968,27000,2,,,,,,,,
19,925,27000,2,,,,,,,,
22,914,27000,2,,,,,,,,
21,946,27000,2,,,,,,,,
28,1196,27000,2,,,,,,,,
21,967,27000,2,,,,,,,,
22,948,27000,2,,,,,,,,
22,951,27000,2,,,,,,,,
19,899,27000,2,,,,,,,,
22,1021,27000,2,,,,,,,,
32,1452,21500,2,,,,,,,,
23,1074,27800,2,,,,,,,,
21,993,27000,2,,,,,,,,
27,1169,27000,2,,,,,,,,
23,985,26813.5,2,,,,,,,,
22,1011,26813.5,2,,,,,,,,
22,1014,26813.5,2,,,,,,,,
29,1275,26813.5,2,,,,,,,,
18,881,26813.5,2,,,,,,,,
21,995,27000,2,,,,,,,,
21,1051,27000,2,,,,,,,,
22,1033,27000,2,,,,,,,,
23,1034,27000,2,,,,,,,,
21,981,25000,2,,,,,,,,
21,999,25250,2,,,,,,,,
32,1433,18100,2,,,,,,,,
25,1125,25999.5,2,,,,,,,,
21,970,28000,2,,,,,,,,
21,941,27000,2,,,,,,,,
16,800,12000,2,,,,,,,,
30,1313,26352,2,,,,,,,,
22,1008,27000,2,,,,,,,,
23,1079,23875,2,,,,,,,,
23,1055,27000,2,,,,,,,,
22,1023,28000,2,,,,,,,,
20,976,27000,2,,,,,,,,
22,1050,26247,2,,,,,,,,
31,1435,15500,1,,,,,,,,
18,918,21500,1,,,,,,,,
30,1254,27000,1,,,,,,,,
22,1038,27000,5,,,,,,,,
20,997,27741,5,,,,,,,,
21,1052,19000,5,,,,,,,,
24,1137,22251,5,,,,,,,,
23,1073,25000,5,,,,,,,,
17,806,29600,5,,,,,,,,
22,1035,20750,5,,,,,,,,
21,1033,27000,5,,,,,,,,
22,1045,27000,5,,,,,,,,
21,1016,27000,5,,,,,,,,
19,933,31250,5,,,,,,,,
20,936,27000,5,,,,,,,,
21,1020,28750,5,,,,,,,,
20,945,27000,5,,,,,,,,
25,1152,21500,5,,,,,,,,
16,802,12000,5,,,,,,,,
18,917,9788,5,,,,,,,,
20,947,23000,5,,,,,,,,
19,870,12000,5,,,,,,,,
26,1194,25000,5,,,,,,,,
26,1162,27000,4,,,,,,,,
20,951,25625,4,,,,,,,,
21,1026,24750,4,,,,,,,,
22,1044,27000,4,,,,,,,,
21,990,27000,4,,,,,,,,
22,1025,24847,4,,,,,,,,
21,980,25000,4,,,,,,,,
27,1181,27000,4,,,,,,,,
23,1068,25245,4,,,,,,,,
22,1028,23489,4,,,,,,,,
22,1044,24250,4,,,,,,,,
22,1123,21426,5,,,,,,,,
20,1010,23202,5,,,,,,,,
23,1110,30000,5,,,,,,,,
26,1176,22707,5,,,,,,,,
19,930,25053,5,,,,,,,,
22,1065,18625,5,,,,,,,,
22,1083,24648,5,,,,,,,,
26,1105,26500,5,,,,,,,,
19,910,10000,5,,,,,,,,
21,1044,21875,5,,,,,,,,
25,1175,20500,5,,,,,,,,
21,1030,20000,5,,,,,,,,
19,946,27000,5,,,,,,,,
23,1117,26000,5,,,,,,,,
17,843,12500,5,,,,,,,,
22,1034,20199,5,,,,,,,,
23,1042,21260,5,,,,,,,,
15,762,33170,5,,,,,,,,
23,1076,27723.5,5,,,,,,,,
20,1055,18000,5,,,,,,,,
22,1049,27000,5,,,,,,,,
20,1025,33125,5,,,,,,,,
21,1029,25250,5,,,,,,,,
21,1032,21743,5,,,,,,,,
23,1097,23500,5,,,,,,,,
21,1050,27250,5,,,,,,,,
28,1296,27000,5,,,,,,,,
19,910,9722,5,,,,,,,,
20,1002,18750,5,,,,,,,,
22,1088,20090.5,5,,,,,,,,
26,1198,19998.5,5,,,,,,,,
22,1050,24109,5,,,,,,,,
22,1105,15587,5,,,,,,,,
20,962,24500,5,,,,,,,,
24,1066,19500,5,,,,,,,,
21,990,28000,5,,,,,,,,
24,1170,25000,5,,,,,,,,
33,1481,13000,5,,,,,,,,
24,1091,25985,6,,,,,,,,
20,976,21319.5,6,,,,,,,,
27,1227,25131,6,,,,,,,,
22,1021,25680.5,6,,,,,,,,
21,970,23000,6,,,,,,,,
22,996,27121,6,,,,,,,,
26,1211,23250,6,,,,,,,,
20,952,26000,6,,,,,,,,
19,897,12500,6,,,,,,,,
20,909,20250,6,,,,,,,,
22,1037,25864,6,,,,,,,,
22,1054,25000,6,,,,,,,,
19,894,19003,6,,,,,,,,
25,1139,19702.5,6,,,,,,,,
21,976,25125,6,,,,,,,,
21,963,27000,6,,,,,,,,
21,963,22486,6,,,,,,,,
19,906,14929,6,,,,,,,,
26,1177,28000,6,,,,,,,,
22,1010,23628.5,6,,,,,,,,
23,1064,25851.5,6,,,,,,,,
20,901,25000,6,,,,,,,,
21,995,22500,6,,,,,,,,
23,1096,20000,6,,,,,,,,
20,941,25000,6,,,,,,,,
20,953,12036.5,6,,,,,,,,
22,1070,38125,6,,,,,,,,
18,850,28554,6,,,,,,,,
33,1460,9641.5,6,,,,,,,,
24,1116,25000,6,,,,,,,,
24,1111,23823,6,,,,,,,,
21,1000,22208,6,,,,,,,,
22,997,25000,6,,,,,,,,
22,1033,27000,6,,,,,,,,
29,1316,22500,6,,,,,,,,
26,1159,26278,6,,,,,,,,
21,998,25000,6,,,,,,,,
23,1032,21358.5,6,,,,,,,,
19,905,25000,6,,,,,,,,
19,890,15250,6,,,,,,,,
21,961,20500,6,,,,,,,,
19,922,20000,6,,,,,,,,
27,1206,19000,6,,,,,,,,
23,1053,18750,6,,,,,,,,
30,1296,22159.5,6,,,,,,,,
29,1259,19000,6,,,,,,,,
23,1051,18345,6,,,,,,,,
27,1207,22000,6,,,,,,,,
22,1020,27000,6,,,,,,,,
21,963,13750,6,,,,,,,,
22,1037,23348,6,,,,,,,,
17,812,31000,6,,,,,,,,
25,1110,22500,6,,,,,,,,
21,984,25000,6,,,,,,,,
21,953,20000,6,,,,,,,,
28,1281,21967,6,,,,,,,,
21,946,18875,6,,,,,,,,
21,970,21374,6,,,,,,,,
28,1290,11000,7,,,,,,,,
24,1110,8291,8,,,,,,,,
22,1063,13237,7,,,,,,,,
22,1067,13000,7,,,,,,,,
24,1131,15000,7,,,,,,,,
25,1122,25000,7,,,,,,,,
20,967,25000,1,,,,,,,,
25,1150,27000,1,,,,,,,,
22,941,26000,1,,,,,,,,
19,937,27000,1,,,,,,,,
23,1053,27000,1,,,,,,,,
18,849,24750,1,,,,,,,,
27,1191,21614.5,1,,,,,,,,
19,907,18873,5,,,,,,,,
23,1056,27000,5,,,,,,,,
30,1373,19500,5,,,,,,,,
22,1066,25000,5,,,,,,,,
21,995,27000,5,,,,,,,,
21,1003,21700,5,,,,,,,,
20,852,27000,5,,,,,,,,
25,1152,20000,5,,,,,,,,
24,1098,26848.5,5,,,,,,,,
21,999,27000,5,,,,,,,,
22,1040,23250,5,,,,,,,,
23,1114,22247.5,5,,,,,,,,
20,1001,25000,5,,,,,,,,
21,1007,23178.5,5,,,,,,,,
24,1086,27000,5,,,,,,,,
22,1087,27000,5,,,,,,,,
21,994,25000,5,,,,,,,,
21,1056,24185,5,,,,,,,,
23,1056,25500,5,,,,,,,,
20,946,20844.5,5,,,,,,,,
23,1105,24151,5,,,,,,,,
31,1357,19633,5,,,,,,,,
25,1162,24100,5,,,,,,,,
18,837,28685.5,5,,,,,,,,
16,776,33450,5,,,,,,,,
21,991,27000,5,,,,,,,,
32,1395,21500,5,,,,,,,,
21,978,21500,8,,,,,,,,
21,958,20800,8,,,,,,,,
21,1043,17264,8,,,,,,,,
22,1018,23724.5,8,,,,,,,,
27,1230,23500,8,,,,,,,,
